movie_id,image_src,name,path
48833,https://a.ltrbxd.com/resized/film-poster/4/8/8/3/3/48833-a-bay-of-blood-0-230-0-345-crop.jpg?k=b9792e03c5,A Bay of Blood,/film/a-bay-of-blood/
51648,https://a.ltrbxd.com/resized/film-poster/5/1/6/4/8/51648-a-beautiful-mind-0-230-0-345-crop.jpg?k=589cd102ed,A Beautiful Mind,/film/a-beautiful-mind/
40436,https://a.ltrbxd.com/resized/film-poster/4/0/4/3/6/40436-a-better-tomorrow-ii-0-230-0-345-crop.jpg?k=ef3fdc3bbd,A Better Tomorrow II,/film/a-better-tomorrow-ii/
45272,https://a.ltrbxd.com/resized/film-poster/4/5/2/7/2/45272-a-better-tomorrow-0-230-0-345-crop.jpg?k=d4728b1f0e,A Better Tomorrow,/film/a-better-tomorrow/
45390,https://a.ltrbxd.com/resized/sm/upload/m3/ho/e6/pk/a-bittersweet-life-0-230-0-345-crop.jpg?k=186560bbdb,A Bittersweet Life,/film/a-bittersweet-life/
317187,https://a.ltrbxd.com/resized/sm/upload/ed/1r/eg/sh/u61ttYixSjeb6RFxunzUQd5KRHo-0-230-0-345-crop.jpg?k=66d1029975,A Bride for Rip Van Winkle,/film/a-bride-for-rip-van-winkle/
48582,https://a.ltrbxd.com/resized/sm/upload/ck/3j/e7/yn/lszOk3Xmh7qpLaM9J4K9E6ADLk1-0-230-0-345-crop.jpg?k=a6e69f210a,A Bridge Too Far,/film/a-bridge-too-far/
51098,https://a.ltrbxd.com/resized/film-poster/5/1/0/9/8/51098-a-brief-history-of-time-0-230-0-345-crop.jpg?k=adfc85acad,A Brief History of Time,/film/a-brief-history-of-time/
42089,https://a.ltrbxd.com/resized/film-poster/4/2/0/8/9/42089-a-brighter-summer-day-0-230-0-345-crop.jpg?k=b566bae2e6,A Brighter Summer Day,/film/a-brighter-summer-day/
50932,https://a.ltrbxd.com/resized/film-poster/5/0/9/3/2/50932-a-bronx-tale-0-230-0-345-crop.jpg?k=5af770fc64,A Bronx Tale,/film/a-bronx-tale/
27121,https://a.ltrbxd.com/resized/film-poster/2/7/1/2/1/27121-a-bullet-for-the-general-0-230-0-345-crop.jpg?k=01824846ea,A Bullet for the General,/film/a-bullet-for-the-general/
42174,https://a.ltrbxd.com/resized/film-poster/4/2/1/7/4/42174-a-canterbury-tale-0-230-0-345-crop.jpg?k=b573c1a88f,A Canterbury Tale,/film/a-canterbury-tale/
44066,https://a.ltrbxd.com/resized/film-poster/4/4/0/6/6/44066-a-charlie-brown-christmas-0-230-0-345-crop.jpg?k=e5e23dbc34,A Charlie Brown Christmas,/film/a-charlie-brown-christmas/
43857,https://a.ltrbxd.com/resized/film-poster/4/3/8/5/7/43857-a-charlie-brown-thanksgiving-0-230-0-345-crop.jpg?k=aac9cd70e6,A Charlie Brown Thanksgiving,/film/a-charlie-brown-thanksgiving/
32046,https://a.ltrbxd.com/resized/film-poster/3/2/0/4/6/32046-a-chinese-ghost-story-0-230-0-345-crop.jpg?k=3b4b0ddb3b,A Chinese Ghost Story,/film/a-chinese-ghost-story/
44064,https://a.ltrbxd.com/resized/film-poster/4/4/0/6/4/44064-a-christmas-carol-0-230-0-345-crop.jpg?k=76afadbca6,A Christmas Carol,/film/a-christmas-carol-1984/
40653,https://a.ltrbxd.com/resized/film-poster/4/0/6/5/3/40653-a-christmas-carol-0-230-0-345-crop.jpg?k=7fe401027e,A Christmas Carol,/film/a-christmas-carol-2009/
51302,https://a.ltrbxd.com/resized/sm/upload/vs/pg/yn/s8/a-christmas-story-0-230-0-345-crop.jpg?k=3a44692ea4,A Christmas Story,/film/a-christmas-story-1983/
47532,https://a.ltrbxd.com/resized/sm/upload/ol/zw/lm/8g/6jLewTYpJl3sBjZK3wElo2OEVZo-0-230-0-345-crop.jpg?k=372fa09bba,A Christmas Tale,/film/a-christmas-tale/
